year,depth,mag,magType,net,id,updated,place,type,status,locationSource,magSource,,,,
1917,35,7.4,mw,iscgem,iscgem913517,2015-05-13T18:52:41.000Z,south of Alaska,earthquake,automatic,iscgem,iscgem,,,,
1917,15,8,mw,iscgem,iscgem913548,2015-05-13T18:52:41.000Z,Samoa Islands region,earthquake,automatic,iscgem,iscgem,,,,
1917,35,7.4,mw,iscgem,iscgem913586,2015-05-13T18:52:41.000Z,"New Guinea, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1918,15,7.3,mw,iscgem,iscgem913072,2015-05-13T18:52:41.000Z,"near the coast of Fujian, China",earthquake,automatic,iscgem,iscgem,,,,
1918,15,7.3,mw,iscgem,iscgem913146,2015-05-13T18:52:41.000Z,central Mid-Atlantic Ridge,earthquake,automatic,iscgem,iscgem,,,,
1918,15,7,mw,iscgem,iscgem913148,2015-05-13T18:52:41.000Z,"New Ireland region, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1918,15,7.5,mw,iscgem,iscgem913192,2015-05-13T18:52:41.000Z,"near the north coast of New Guinea, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1918,15,7.2,mw,iscgem,iscgem913196,2015-05-13T18:52:41.000Z,Bangladesh,earthquake,automatic,iscgem,iscgem,,,,
1918,20,8.3,mw,iscgem,iscgem913230,2015-05-13T18:52:41.000Z,"Mindanao, Philippines",earthquake,automatic,iscgem,iscgem,,,,
1918,15,8.1,mw,iscgem,iscgem913260,2015-05-13T18:52:41.000Z,Kuril Islands,earthquake,automatic,iscgem,iscgem,,,,
1918,15,7.1,mw,iscgem,iscgem913306,2018-02-14T23:39:04.462Z,Puerto Rico region,earthquake,automatic,iscgem,iscgem,,,,
1918,15,7.2,mw,iscgem,iscgem913330,2015-05-13T18:52:41.000Z,"New Ireland region, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1918,15,7.8,mw,iscgem,iscgem913336,2015-05-13T18:52:41.000Z,east of the Kuril Islands,earthquake,automatic,iscgem,iscgem,,,,
1918,10,7.1,mw,iscgem,iscgem913359,2015-05-13T18:52:41.000Z,northern Mid-Atlantic Ridge,earthquake,automatic,iscgem,iscgem,,,,
1918,40,7.8,mw,iscgem,iscgem913362,2015-05-13T18:52:41.000Z,"Atacama, Chile",earthquake,automatic,iscgem,iscgem,,,,
1919,485,7.8,mw,iscgem,iscgem912700,2015-05-13T18:52:41.000Z,Fiji region,earthquake,automatic,iscgem,iscgem,,,,
1919,15,7.2,mw,iscgem,iscgem912734,2015-05-13T18:52:41.000Z,"off the coast of Los Lagos, Chile",earthquake,automatic,iscgem,iscgem,,,,
1919,15,7.2,mw,iscgem,iscgem912735,2015-05-13T18:52:41.000Z,"Chubut, Argentina",earthquake,automatic,iscgem,iscgem,,,,
1919,35,7.2,mw,iscgem,iscgem912761,2015-05-13T18:52:41.000Z,"Kermadec Islands, New Zealand",earthquake,automatic,iscgem,iscgem,,,,
1919,25,8.1,mw,iscgem,iscgem912773,2015-05-13T18:52:41.000Z,Tonga region,earthquake,automatic,iscgem,iscgem,,,,
1919,15,7.2,mw,iscgemsup,iscgemsup912777,2015-07-13T17:02:22.000Z,"off the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1919,35,7.8,mw,iscgem,iscgem912783,2015-05-13T18:52:41.000Z,"New Ireland region, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1919,15,7.2,mw,iscgem,iscgem912837,2015-05-13T18:52:41.000Z,"Lake Tanganyika region, Tanzania-Zambia",earthquake,automatic,iscgem,iscgem,,,,
1920,35,7.8,mw,iscgem,iscgem912419,2015-05-13T18:52:41.000Z,"New Britain region, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1920,10,7,mw,iscgem,iscgem912460,2015-05-13T18:52:41.000Z,southern East Pacific Rise,earthquake,automatic,iscgem,iscgem,,,,
1920,25,7,mw,iscgem,iscgem912492,2015-05-13T18:52:41.000Z,"near the north coast of New Guinea, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1920,20,8.2,mw,iscgem,iscgem912519,2015-05-13T18:52:41.000Z,Taiwan,earthquake,automatic,iscgem,iscgem,,,,
1920,25,8.1,mw,iscgem,iscgem912618,2015-05-13T18:52:41.000Z,"Loyalty Islands, New Caledonia",earthquake,automatic,iscgem,iscgem,,,,
1920,15,7.3,mw,iscgem,iscgem912683,2015-05-13T18:52:41.000Z,"Neuquen, Argentina",earthquake,automatic,iscgem,iscgem,,,,
1920,15,8.3,mw,iscgem,iscgem912687,2018-01-18T19:07:09.087Z,"Gansu-Ningxia border region, China",earthquake,automatic,iscgem,iscgem,,,,
1921,15,7,mw,iscgem,iscgem912158,2015-05-13T18:52:41.000Z,Guatemala,earthquake,automatic,iscgem,iscgem,,,,
1921,15,7.4,mw,iscgem,iscgem912172,2015-05-13T18:52:41.000Z,Tonga,earthquake,automatic,iscgem,iscgem,,,,
1921,15,7.3,mw,iscgem,iscgem912192,2015-05-13T18:52:41.000Z,Honduras,earthquake,automatic,iscgem,iscgem,,,,
